N,LOCATION,LAT,LON,STN_CHAN,PERCENT_UP
1,FLORIDA PENINSULA,27.036100,-80.361800,060A_HHZ.N4.00,100.5
2,FLORIDA PENINSULA,25.865700,-80.907000,061Z_HHZ.N4.00,100.3
3,CENTRAL TEXAS,32.001500,-95.808400,237B_BHZ.TX.--,64.4
4,CENTRAL TEXAS,30.782700,-97.585000,435B_BHZ.TX.--,48.5
5,LOUISIANA,30.749800,-93.189800,441B_HHZ.N4.00,100.5
6,WESTERN FLORIDA,30.616000,-85.746700,451A_HHZ.N4.00,100.4
7,FLORIDA-GEORGIA BORDER REGION,30.724800,-82.022300,456A_HHZ.N4.00,100.3
8,NEAR THE COAST OF TEXAS,28.855300,-97.808200,735B_HHZ.N4.00,100.5
9,SOUTHERN TEXAS,28.323600,-99.393900,833A_BHZ.TX.--,0.0
10,LEEWARD ISLANDS,16.474400,-61.488100,ABD_BHZ.WI.00,99.8
11,VIRGIN ISLANDS,18.729700,-64.332497,ABVI_BHZ.PR.--,0.0
12,NICARAGUA,11.968000,-85.174000,ACON_HHZ.NU.--,0.0
13,NEAR THE COAST OF VENEZUELA,12.505711,-70.001080,ACPR_HHZ.PR.00,100.3
14,MONA PASSAGE,18.467490,-67.111180,AGPR_HHZ.PR.00,99.7
15,LEEWARD ISLANDS,17.048000,-61.765000,ANBD_BHZ.TR.--,0.0
16,LEEWARD ISLANDS,17.668530,-61.785570,ANWB_BHZ.CU.00,100.2
17,PUERTO RICO REGION,18.346645,-66.753979,AOPR_HHZ.PR.00,0.0
18,NORTHERN COLOMBIA,9.857669,-74.245833,ARGC_BHZ.CM.00,71.5
19,PUERTO RICO REGION,18.028908,-66.234546,ASPR_HHZ.PR.00,100.1
20,PUERTO RICO REGION,18.028908,-66.234546,ASPR_HNZ.PR.00,100.1
21,DOMINICAN REPUBLIC REGION,18.389700,-70.355797,BADR_BHZ.DR.--,96.8
22,CALIF.-BAJA CALIF. BORDER REGION,32.680099,-116.671997,BAR_BHZ.CI.--,100.2
23,COSTA RICA,10.097800,-83.376100,BATAN_HHZ.OV.--,0.0
24,VENEZUELA,8.943400,-68.041496,BAUV_BHZ.VE.--,0.0
25,WINDWARD ISLANDS,13.143400,-59.558800,BBGH_BHZ.CU.00,94.1
26,NORTH ATLANTIC OCEAN,32.371201,-64.696198,BBSR_BHZ.IU.00,100.4
27,PANAMA,9.166500,-79.837303,BCIP_BHZ.CU.00,100.0
28,VENEZUELA,9.962300,-67.598760,BENV_BHZ.VE.--,99.9
29,NICARAGUA,14.048800,-83.374641,BILN_HHZ.NU.10,61.7
30,WINDWARD ISLANDS,14.518000,-61.066000,BIM_BHZ.WI.00,0.0
31,NEAR THE COAST OF VENEZUELA,10.475700,-66.269200,BIRV_BHZ.VE.--,0.0
32,ALABAMA,31.011400,-87.056801,BRAL_BHZ.US.00,100.5
33,PANAMA-COSTA RICA BORDER REGION,8.794000,-82.691002,BRU2_BHZ.PA.--,0.0
34,CUBA REGION,22.497100,-79.471000,CAIB_HHZ.CW.00,100.1
35,CUBA REGION,23.061738,-81.370859,CAMR_HHZ.CW.00,89.4
36,PANAMA-COLOMBIA BORDER REGION,8.644522,-77.360388,CAP2_BHZ.CM.00,0.0
37,HAITI REGION,19.697600,-72.178400,CAPH_HHZ.AY.--,0.0
38,NICARAGUA,11.187226,-85.522179,CARN_HHZ.NU.00,83.7
39,CUBA REGION,19.738000,-79.758300,CBCY_HHZ.CY.01,0.0
40,LEEWARD ISLANDS,16.067000,-61.611100,CBE_BHZ.WI.00,99.6
41,PUERTO RICO REGION,18.271700,-65.856598,CBYP_BHZ.PR.--,0.0
42,CUBA REGION,21.193400,-77.417300,CCCC_HHZ.CW.00,76.7
43,CHIAPAS MEXICO,16.281900,-92.136900,CCIG_BHZ.MX.--,0.0
44,PANAMA-COSTA RICA BORDER REGION,8.573200,-82.872700,CDITO_HHZ.OV.--,100.7
45,VIRGIN ISLANDS,17.752220,-64.764720,CDVI_HHZ.PR.00,0.0
46,EL SALVADOR,13.802800,-89.394852,CEDA_HHZ.SV.--,0.0
47,CHIHUAHUA MEXICO,30.365200,-107.977303,CGIG_BHZ.MX.--,3.4
